id;systementrytimestamp;animalid;begintime;endtime;totalyieldkg;expectedyieldkg;milkingdeviceid;milkingsamplerackno;milkingsampletubepos;milkingsampletubeid;avgconductivity;maxblood
54713;2022-12-06 23:10:39.410;56;2022-12-06 23:05:23.000;2022-12-06 23:10:27.000;9.78;9.871;15;0;0;0;4357;0
54718;2022-12-06 23:48:46.737;58;2022-12-06 23:43:34.000;2022-12-06 23:48:35.000;7.62;8.235;15;0;0;0;4238;0
54750;2022-12-07 06:51:43.343;61;2022-12-07 06:37:11.000;2022-12-07 06:51:31.000;9.42;9.198;15;0;0;0;4328;0
54754;2022-12-07 07:26:31.957;58;2022-12-07 07:20:40.000;2022-12-07 07:26:20.000;9.89;10.181;15;0;0;0;4289;0
54766;2022-12-07 09:09:02.953;51;2022-12-07 09:02:45.000;2022-12-07 09:08:50.000;11.79;13.187;15;0;0;0;4150;0
54793;2022-12-07 14:22:43.597;61;2022-12-07 14:07:26.000;2022-12-07 14:22:32.000;7.43;7.051;15;0;0;0;3268;0
54800;2022-12-07 15:14:03.640;58;2022-12-07 15:07:52.000;2022-12-07 15:13:51.000;9.74;10.371;15;0;0;0;4169;0
54809;2022-12-07 16:34:19.783;56;2022-12-07 16:27:58.000;2022-12-07 16:34:07.000;16.4;18.329;15;0;0;0;4306;0
54817;2022-12-07 17:50:39.990;51;2022-12-07 17:41:59.000;2022-12-07 17:50:26.000;8.37;10.366;15;0;0;0;3950;0
54837;2022-12-07 21:31:43.223;61;2022-12-07 21:16:10.000;2022-12-07 21:30:58.000;6.12;6.798;15;0;0;0;4261;0
54843;2022-12-07 22:45:47.433;58;2022-12-07 22:40:04.000;2022-12-07 22:45:35.000;9.3;9.96;15;0;0;0;4192;0
54865;2022-12-08 01:55:33.643;56;2022-12-08 01:48:37.000;2022-12-08 01:55:20.000;9.53;10.06;15;0;0;0;4123;0
54878;2022-12-08 05:14:43.117;51;2022-12-08 05:09:05.000;2022-12-08 05:14:31.000;13.66;12.822;15;0;0;0;4001;0
54888;2022-12-08 07:18:52.067;61;2022-12-08 07:03:57.000;2022-12-08 07:15:27.000;9.76;9.02;15;0;0;0;4488;0
54893;2022-12-08 08:14:09.217;58;2022-12-08 08:04:22.000;2022-12-08 08:11:28.000;13.21;12.299;15;0;0;0;4286;0
54929;2022-12-08 14:22:34.003;56;2022-12-08 14:15:22.000;2022-12-08 14:22:20.000;13.38;12.871;15;0;0;0;4302;0
54930;2022-12-08 14:54:25.750;61;2022-12-08 14:37:19.000;2022-12-08 14:50:38.000;8.64;7.229;15;0;0;0;3269;0
54939;2022-12-08 16:12:51.623;51;2022-12-08 16:07:32.000;2022-12-08 16:12:38.000;11.77;13.042;15;0;0;0;4003;0
54941;2022-12-08 16:28:51.597;58;2022-12-08 16:22:29.000;2022-12-08 16:28:39.000;11.15;11.021;15;0;0;0;4285;0
54967;2022-12-08 21:37:46.617;61;2022-12-08 21:24:45.000;2022-12-08 21:37:06.000;6.96;6.626;15;0;0;0;3365;0
54981;2022-12-09 00:09:04.780;51;2022-12-09 00:02:59.000;2022-12-09 00:08:50.000;8.53;9.327;15;0;0;0;3985;0
54986;2022-12-09 00:39:59.420;56;2022-12-09 00:34:41.000;2022-12-09 00:39:47.000;11.1;10.703;15;0;0;0;4340;0
54992;2022-12-09 01:32:29.097;58;2022-12-09 01:25:46.000;2022-12-09 01:32:17.000;11.63;12.064;15;0;0;0;4283;0
55015;2022-12-09 07:04:22.850;61;2022-12-09 06:46:59.000;2022-12-09 07:04:03.000;8.79;9.294;15;0;0;0;2565;0
55036;2022-12-09 10:48:01.883;51;2022-12-09 10:41:57.000;2022-12-09 10:47:48.000;12.12;12.283;15;0;0;0;4138;0
55037;2022-12-09 10:59:16.833;58;2022-12-09 10:51:22.000;2022-12-09 10:59:04.000;12.24;12.443;15;0;0;0;4234;0
55058;2022-12-09 15:05:37.447;56;2022-12-09 14:59:12.000;2022-12-09 15:05:25.000;14.7;15.177;15;0;0;0;4320;0
55059;2022-12-09 15:18:01.857;61;2022-12-09 15:06:39.000;2022-12-09 15:17:39.000;8.85;7.956;15;0;0;0;3256;0
55077;2022-12-09 17:39:08.897;58;2022-12-09 17:33:59.000;2022-12-09 17:38:56.000;8.21;8.788;15;0;0;0;4205;0
55091;2022-12-09 20:13:29.873;51;2022-12-09 20:06:41.000;2022-12-09 20:13:17.000;9.82;10.885;15;0;0;0;4055;0
55101;2022-12-09 21:40:09.043;61;2022-12-09 21:29:48.000;2022-12-09 21:39:43.000;6.59;6.227;15;0;0;0;4159;0
55112;2022-12-09 23:11:04.583;56;2022-12-09 23:06:42.000;2022-12-09 23:10:52.000;7.96;8.544;15;0;0;0;4288;0
55124;2022-12-10 01:35:08.270;58;2022-12-10 01:29:34.000;2022-12-10 01:34:55.000;9.92;10.353;15;0;0;0;4188;0
55138;2022-12-10 05:15:16.043;51;2022-12-10 05:09:36.000;2022-12-10 05:15:01.000;10.98;10.261;15;0;0;0;4052;0
55149;2022-12-10 07:28:14.773;61;2022-12-10 07:18:10.000;2022-12-10 07:28:03.000;9.18;9.656;15;0;0;0;4496;0
55163;2022-12-10 09:25:34.190;58;2022-12-10 09:19:49.000;2022-12-10 09:25:22.000;9.97;10.213;15;0;0;0;4140;0
55183;2022-12-10 12:38:17.880;51;2022-12-10 12:33:19.000;2022-12-10 12:38:06.000;7.53;8.589;15;0;0;0;4138;0
55184;2022-12-10 12:52:51.853;56;2022-12-10 12:47:12.000;2022-12-10 12:52:39.000;13.98;14.065;15;0;0;0;4370;0
55187;2022-12-10 13:41:05.190;61;2022-12-10 13:22:08.000;2022-12-10 13:34:28.000;6.14;6.074;15;0;0;0;2504;0
55207;2022-12-10 17:31:11.813;58;2022-12-10 17:25:45.000;2022-12-10 17:31:00.000;9.48;10.522;15;0;0;0;4237;0
55226;2022-12-10 20:24:33.743;61;2022-12-10 20:15:32.000;2022-12-10 20:24:09.000;6.3;6.693;15;0;0;0;3609;0
55234;2022-12-10 21:32:14.740;51;2022-12-10 21:26:22.000;2022-12-10 21:32:02.000;10.01;10.049;15;0;0;0;4255;0
55251;2022-12-10 23:59:19.377;58;2022-12-10 23:54:13.000;2022-12-10 23:59:07.000;8.25;8.427;15;0;0;0;4106;0
55257;2022-12-11 01:02:27.333;56;2022-12-11 00:56:25.000;2022-12-11 01:02:14.000;12.6;12.51;15;0;0;0;4389;0
55280;2022-12-11 06:30:03.820;61;2022-12-11 06:12:56.000;2022-12-11 06:29:31.000;8.55;9.703;15;0;0;0;3790;0
55285;2022-12-11 07:03:09.633;58;2022-12-11 06:57:27.000;2022-12-11 07:02:57.000;9.3;9.116;15;0;0;0;4443;0
55287;2022-12-11 07:18:02.807;51;2022-12-11 07:12:31.000;2022-12-11 07:17:50.000;11.32;11.135;15;0;0;0;4254;0
55325;2022-12-11 13:52:14.480;58;2022-12-11 13:46:24.000;2022-12-11 13:52:03.000;8.92;8.808;15;0;0;0;4287;0
55327;2022-12-11 14:04:46.963;56;2022-12-11 13:58:57.000;2022-12-11 14:04:33.000;14.1;13.49;15;0;0;0;4453;0
55341;2022-12-11 16:46:09.423;61;2022-12-11 16:34:54.000;2022-12-11 16:45:56.000;7.04;9.534;15;0;0;0;4474;0
55348;2022-12-11 17:32:46.670;51;2022-12-11 17:26:31.000;2022-12-11 17:32:34.000;10.1;11.621;15;0;0;0;4168;359
55366;2022-12-11 20:31:53.240;61;2022-12-11 20:19:58.000;2022-12-11 20:31:20.000;8.1;4.372;15;0;0;0;4314;0
55387;2022-12-11 23:26:30.820;58;2022-12-11 23:14:55.000;2022-12-11 23:26:30.000;11.02;12.447;15;0;0;0;4425;0
55399;2022-12-12 01:57:24.280;56;2022-12-12 01:50:39.000;2022-12-12 01:57:11.000;12.37;12.423;15;0;0;0;4373;0
55401;2022-12-12 02:14:04.490;51;2022-12-12 02:08:49.000;2022-12-12 02:13:51.000;10.79;9.693;15;0;0;0;4110;0
55428;2022-12-12 06:58:51.750;61;2022-12-12 06:46:40.000;2022-12-12 06:58:38.000;9.59;10.299;15;0;0;0;4293;0
55431;2022-12-12 07:50:22.907;58;2022-12-12 07:44:14.000;2022-12-12 07:50:11.000;10.6;10.553;15;0;0;0;4315;0
55450;2022-12-12 11:12:06.037;51;2022-12-12 11:05:53.000;2022-12-12 11:11:54.000;10.08;10.25;15;0;0;0;4100;0
55470;2022-12-12 17:06:57.100;61;2022-12-12 16:52:54.000;2022-12-12 17:03:41.000;8.04;9.686;15;0;0;0;2749;333
55471;2022-12-12 17:14:18.037;58;2022-12-12 17:04:16.000;2022-12-12 17:11:02.000;12.19;11.85;15;0;0;0;4272;0
55486;2022-12-12 19:18:25.287;51;2022-12-12 19:08:44.000;2022-12-12 19:15:50.000;9.45;9.146;15;0;0;0;4119;0
55491;2022-12-12 20:17:39.370;56;2022-12-12 20:08:57.000;2022-12-12 20:15:05.000;16.74;18.95;15;0;0;0;4319;0
55516;2022-12-13 00:41:13.100;58;2022-12-13 00:32:45.000;2022-12-13 00:38:38.000;10.39;9.519;15;0;0;0;4361;0
55531;2022-12-13 02:51:53.313;51;2022-12-13 02:42:46.000;2022-12-13 02:48:38.000;8.82;8.675;15;0;0;0;4040;0
55542;2022-12-13 06:41:46.307;61;2022-12-13 06:11:29.000;2022-12-13 06:37:04.000;10.71;12.133;15;1;3;3;4489;0
55553;2022-12-13 09:05:11.180;58;2022-12-13 08:54:21.000;2022-12-13 09:01:30.000;11.13;10.904;15;1;14;14;4368;0
55568;2022-12-13 11:43:48.177;51;2022-12-13 11:34:37.000;2022-12-13 11:40:07.000;7.15;10.084;15;1;29;29;3995;0
55590;2022-12-13 15:27:35.833;56;2022-12-13 15:17:03.000;2022-12-13 15:23:14.000;17.47;18.405;15;1;45;45;4323;0
55603;2022-12-13 18:19:44.247;61;2022-12-13 18:03:40.000;2022-12-13 18:17:07.000;11.23;10.137;15;0;0;0;3864;0
55610;2022-12-13 19:22:28.583;58;2022-12-13 19:11:40.000;2022-12-13 19:19:10.000;12.97;13.331;15;0;0;0;4316;0
55612;2022-12-13 19:37:53.780;51;2022-12-13 19:28:06.000;2022-12-13 19:34:35.000;10.75;9.13;15;0;0;0;4205;0
55640;2022-12-13 23:57:59.037;56;2022-12-13 23:51:12.000;2022-12-13 23:55:24.000;8.53;8.587;15;0;0;0;4241;0
55664;2022-12-14 03:52:12.907;51;2022-12-14 03:44:19.000;2022-12-14 03:48:57.000;9.36;9.242;15;0;0;0;3995;340
55676;2022-12-14 06:50:41.127;61;2022-12-14 06:25:50.000;2022-12-14 06:42:57.000;10.69;11.449;15;0;0;0;4411;0
55689;2022-12-14 10:20:00.660;58;2022-12-14 10:07:26.000;2022-12-14 10:16:36.000;17.8;18.981;15;0;0;0;4314;0
55696;2022-12-14 11:32:47.447;51;2022-12-14 11:24:01.000;2022-12-14 11:30:10.000;7.69;8.696;15;0;0;0;4065;332
55724;2022-12-14 15:32:14.707;61;2022-12-14 15:20:00.000;2022-12-14 15:29:37.000;8.01;8.08;15;0;0;0;4187;0
55739;2022-12-14 18:18:15.517;58;2022-12-14 18:09:20.000;2022-12-14 18:15:38.000;10.03;10.024;15;0;0;0;4036;0
55746;2022-12-14 19:17:12.943;51;2022-12-14 19:10:21.000;2022-12-14 19:14:35.000;7.95;8.667;15;0;0;0;4005;336
55749;2022-12-14 19:40:22.860;56;2022-12-14 19:30:47.000;2022-12-14 19:37:07.000;16.55;19.357;15;0;0;0;4292;0
55750;2022-12-14 19:50:04.803;61;2022-12-14 19:38:50.000;2022-12-14 19:46:49.000;5.31;4.226;15;0;0;0;1363;0
55794;2022-12-15 03:16:44.790;51;2022-12-15 03:08:04.000;2022-12-15 03:13:23.000;8.01;8.858;15;0;0;0;4005;0
55803;2022-12-15 04:49:26.270;61;2022-12-15 04:36:56.000;2022-12-15 04:46:05.000;7.87;8.513;15;0;0;0;4532;0
55828;2022-12-15 09:20:03.420;58;2022-12-15 09:07:29.000;2022-12-15 09:16:48.000;16.72;18.98;15;0;0;0;4254;0
55829;2022-12-15 09:25:35.647;56;2022-12-15 09:17:25.000;2022-12-15 09:22:20.000;12.03;12.914;15;0;0;0;4204;0
55835;2022-12-15 10:17:30.183;61;2022-12-15 10:07:44.000;2022-12-15 10:14:53.000;5.42;5.36;15;0;0;0;4244;0
55849;2022-12-15 12:22:27.297;51;2022-12-15 12:15:34.000;2022-12-15 12:19:47.000;9.88;9.882;15;0;0;0;4105;0
55861;2022-12-15 15:25:35.083;61;2022-12-15 15:10:23.000;2022-12-15 15:22:36.000;6.06;4.904;15;0;0;0;3494;0
55877;2022-12-15 17:35:19.463;58;2022-12-15 17:26:04.000;2022-12-15 17:32:01.000;10.02;10.116;15;0;0;0;4113;0
55883;2022-12-15 18:29:10.210;56;2022-12-15 18:21:49.000;2022-12-15 18:26:29.000;9.24;8.69;15;0;0;0;4288;0
55895;2022-12-15 20:03:37.367;51;2022-12-15 19:56:37.000;2022-12-15 20:01:00.000;8.03;8.472;15;0;0;0;4070;0
55907;2022-12-15 22:16:14.897;61;2022-12-15 22:05:15.000;2022-12-15 22:13:24.000;7.3;6.566;15;0;0;0;4448;0
55925;2022-12-16 01:13:19.947;58;2022-12-16 01:04:17.000;2022-12-16 01:09:58.000;9.42;9.462;15;0;0;0;4219;0
55951;2022-12-16 05:41:56.220;56;2022-12-16 05:33:51.000;2022-12-16 05:38:37.000;10.43;10.642;15;0;0;0;4288;0
55953;2022-12-16 06:27:23.967;51;2022-12-16 06:18:30.000;2022-12-16 06:24:08.000;11.32;11.257;15;0;0;0;4087;0
55961;2022-12-16 07:34:19.890;65;2022-12-16 07:28:58.000;2022-12-16 07:34:08.000;4.36;0;15;0;0;0;4741;919
55962;2022-12-16 07:56:50.613;61;2022-12-16 07:43:20.000;2022-12-16 07:53:32.000;9.02;9.38;15;0;0;0;3538;0
55975;2022-12-16 09:49:32.893;58;2022-12-16 09:40:05.000;2022-12-16 09:46:14.000;11.06;10.634;15;0;0;0;4355;0
55993;2022-12-16 12:28:49.267;61;2022-12-16 12:18:42.000;2022-12-16 12:26:12.000;5.57;4.447;15;0;0;0;3525;0
56012;2022-12-16 16:04:39.867;51;2022-12-16 15:56:38.000;2022-12-16 16:01:21.000;9.64;10.525;15;0;0;0;3989;0
56019;2022-12-16 17:16:35.777;58;2022-12-16 17:01:43.000;2022-12-16 17:13:58.000;8.55;9.343;15;0;0;0;4303;0
56022;2022-12-16 17:47:41.070;65;2022-12-16 17:39:27.000;2022-12-16 17:47:28.000;7.27;0;15;0;0;0;4883;889
56041;2022-12-16 20:44:04.407;56;2022-12-16 20:36:02.000;2022-12-16 20:41:30.000;14.69;14.294;15;0;0;0;4452;0
56067;2022-12-17 01:05:01.723;58;2022-12-17 00:56:04.000;2022-12-17 01:01:46.000;10.08;9.725;15;0;0;0;4303;0
56070;2022-12-17 01:28:45.983;61;2022-12-17 01:13:18.000;2022-12-17 01:25:30.000;9.51;12.637;15;0;0;0;4618;0
56073;2022-12-17 01:53:29.970;51;2022-12-17 01:43:45.000;2022-12-17 01:50:14.000;10.09;10.463;15;0;0;0;3982;0
56095;2022-12-17 06:05:37.237;65;2022-12-17 05:59:29.000;2022-12-17 06:05:24.000;6.63;0;15;0;0;0;4974;830
56111;2022-12-17 08:57:35.880;61;2022-12-17 08:46:34.000;2022-12-17 08:54:14.000;6.2;7.075;15;0;0;0;3639;0
56116;2022-12-17 10:02:48.897;56;2022-12-17 09:54:33.000;2022-12-17 09:59:21.000;11.76;12.739;15;0;0;0;4155;0
56122;2022-12-17 11:20:21.757;58;2022-12-17 11:10:54.000;2022-12-17 11:17:35.000;13.06;12.679;15;0;0;0;4231;0
56129;2022-12-17 13:26:00.830;65;2022-12-17 13:21:17.000;2022-12-17 13:25:47.000;6.83;3.757;15;0;0;0;4719;973
56150;2022-12-17 17:43:24.653;51;2022-12-17 17:34:32.000;2022-12-17 17:40:41.000;16.92;16.723;15;0;0;0;3984;0
56158;2022-12-17 19:29:03.690;61;2022-12-17 19:05:51.000;2022-12-17 19:26:17.000;9.76;9.391;15;0;0;0;4374;0
56176;2022-12-17 22:40:19.623;58;2022-12-17 22:30:02.000;2022-12-17 22:37:42.000;14.46;14.1;15;0;0;0;4445;0
56185;2022-12-17 23:49:53.007;56;2022-12-17 23:41:25.000;2022-12-17 23:46:34.000;14.42;12.804;15;0;0;0;4514;0
56211;2022-12-18 06:03:36.950;65;2022-12-18 05:55:53.000;2022-12-18 06:03:23.000;7.65;10.791;15;0;0;0;4759;633
56213;2022-12-18 06:33:54.667;61;2022-12-18 06:20:18.000;2022-12-18 06:30:30.000;8.17;10.032;15;0;0;0;4402;0
56220;2022-12-18 08:09:49.530;58;2022-12-18 07:59:46.000;2022-12-18 08:06:25.000;13.37;11.719;15;0;0;0;4516;0
56247;2022-12-18 13:05:48.290;61;2022-12-18 12:52:42.000;2022-12-18 13:03:05.000;8.75;6.2;15;0;0;0;3904;0
56248;2022-12-18 13:11:35.003;65;2022-12-18 13:04:50.000;2022-12-18 13:11:21.000;10.3;4.36;15;0;0;0;4277;2197
56252;2022-12-18 13:49:46.797;51;2022-12-18 13:40:10.000;2022-12-18 13:46:25.000;18.83;21.279;15;0;0;0;3926;301
56255;2022-12-18 14:37:32.920;58;2022-12-18 14:29:39.000;2022-12-18 14:34:56.000;8.65;8.314;15;0;0;0;4111;0
56257;2022-12-18 14:53:30.233;56;2022-12-18 14:43:57.000;2022-12-18 14:50:11.000;16.7;14.533;15;0;0;0;4155;0
56282;2022-12-18 19:37:01.717;61;2022-12-18 19:19:22.000;2022-12-18 19:33:58.000;6.49;6.199;15;0;0;0;3799;0
56299;2022-12-18 22:36:54.407;65;2022-12-18 22:32:05.000;2022-12-18 22:36:41.000;7.97;6.285;15;0;0;0;3916;2163
56309;2022-12-19 00:20:12.100;58;2022-12-19 00:10:01.000;2022-12-19 00:16:53.000;12.25;12.377;15;0;0;0;4177;0
56311;2022-12-19 00:31:42.203;56;2022-12-19 00:23:39.000;2022-12-19 00:28:26.000;10.56;9.58;15;0;0;0;4131;0
56322;2022-12-19 02:07:36.540;51;2022-12-19 01:59:50.000;2022-12-19 02:04:17.000;10.35;12.05;15;0;0;0;3662;459
56324;2022-12-19 02:22:36.343;61;2022-12-19 02:12:26.000;2022-12-19 02:19:59.000;5.38;6.581;15;0;0;0;4021;0
56343;2022-12-19 06:10:57.180;65;2022-12-19 06:03:02.000;2022-12-19 06:07:38.000;7.33;5.111;15;0;0;0;3901;751
56350;2022-12-19 07:14:42.323;61;2022-12-19 07:05:39.000;2022-12-19 07:12:05.000;5.33;4.852;15;0;0;0;4091;0
56372;2022-12-19 11:41:06.280;58;2022-12-19 11:30:42.000;2022-12-19 11:38:29.000;13.23;14.373;15;0;0;0;4001;0
56381;2022-12-19 13:35:17.137;61;2022-12-19 13:25:27.000;2022-12-19 13:32:39.000;4.28;5.936;15;0;0;0;2853;0
56384;2022-12-19 13:53:40.623;51;2022-12-19 13:46:33.000;2022-12-19 13:51:03.000;9.96;11.46;15;0;0;0;3874;336
56386;2022-12-19 14:08:04.503;65;2022-12-19 14:00:46.000;2022-12-19 14:05:30.000;8.59;6.068;15;0;0;0;4004;634
56391;2022-12-19 14:45:05.740;56;2022-12-19 14:36:46.000;2022-12-19 14:42:31.000;14.44;14.404;15;0;0;0;4116;0
56409;2022-12-19 17:55:45.630;61;2022-12-19 17:44:18.000;2022-12-19 17:52:50.000;4.94;4.391;15;0;0;0;3436;0
56416;2022-12-19 18:52:24.153;58;2022-12-19 18:44:41.000;2022-12-19 18:49:47.000;8.18;9.046;15;0;0;0;4087;0
56430;2022-12-19 20:52:49.730;65;2022-12-19 20:45:54.000;2022-12-19 20:50:12.000;7.29;5.079;15;0;0;0;4289;417
56443;2022-12-19 23:20:55.693;51;2022-12-19 23:11:49.000;2022-12-19 23:17:40.000;9.86;9.19;15;0;0;0;4253;0
56458;2022-12-20 02:23:15.317;56;2022-12-20 02:14:58.000;2022-12-20 02:19:53.000;12.04;11.632;15;0;0;0;4466;0
56466;2022-12-20 04:02:20.150;58;2022-12-20 03:52:39.000;2022-12-20 03:58:53.000;11.61;11.24;15;0;0;0;4259;0
56468;2022-12-20 04:19:19.580;61;2022-12-20 04:07:38.000;2022-12-20 04:15:52.000;8.53;9.2;15;0;0;0;4579;0
56479;2022-12-20 06:45:40.740;65;2022-12-20 06:37:09.000;2022-12-20 06:42:22.000;10.29;8.231;15;0;0;0;4339;343
56491;2022-12-20 08:22:01.230;51;2022-12-20 08:13:40.000;2022-12-20 08:18:42.000;10.03;9.015;15;0;0;0;4418;0
56518;2022-12-20 13:41:28.360;58;2022-12-20 13:32:37.000;2022-12-20 13:38:48.000;12;12.055;15;0;0;0;4389;0
56520;2022-12-20 14:03:54.360;61;2022-12-20 13:50:17.000;2022-12-20 14:00:33.000;8.91;8.69;15;0;0;0;4217;0
56537;2022-12-20 17:14:33.010;56;2022-12-20 17:04:04.000;2022-12-20 17:11:55.000;15.06;14.926;15;0;0;0;4591;0
56547;2022-12-20 18:36:51.580;65;2022-12-20 18:28:24.000;2022-12-20 18:34:17.000;13.17;10.098;15;0;0;0;4491;0
56552;2022-12-20 19:36:32.420;51;2022-12-20 19:28:39.000;2022-12-20 19:33:55.000;11.04;11.513;15;0;0;0;4238;439
56561;2022-12-20 20:46:56.773;58;2022-12-20 20:39:02.000;2022-12-20 20:44:19.000;8.61;8.893;15;0;0;0;4327;0
