id;milkflowdurationsec;incomplete;quarterlfyield;quarterrfyield;quarterlryield;quartelrfyield;meanflowlf;meanflowrf;meanflowlr;meanflowrr;peakflowlf;peakflowrf;peakflowlr;peakflowrr;conductivitylf;conductivityrf;conductivitylr;conductivityrr;bloodlf;bloodrf;bloodlr;bloodrr;scc
54520;911;0;1.79;1.16;1.4;1.83;0.36;0.36;0.42;0.48;0.54;0.84;1.08;0.9;4.229;0;4.484;4.705;0;0;0;0;48
54525;296;0;3.68;3.93;4.3;4.37;1.26;1.5;1.02;1.38;1.68;1.86;1.38;1.74;4.438;4.461;4.355;4.432;0;0;0;0;125
54545;192;0;2.05;2.32;1.71;1.38;0.84;1.14;0.96;0.66;1.2;1.68;1.32;0.96;4.168;4.327;4.154;4.3;0;0;0;0;5
54552;277;0;2.36;2.46;2.6;2.55;1.32;1.14;1.44;1.26;1.92;1.68;2.34;1.74;3.965;4.004;4.011;3.897;0;0;0;0;80
54562;410;0;0.98;0.99;2.28;2.82;0.36;0.36;0.48;0.48;0.66;0.78;0.84;0.72;4.3;0;4.281;4.505;0;0;0;0;37
54575;204;0;2.08;2.21;2.3;2.19;1.26;1.5;1.08;0.9;1.62;1.98;1.44;1.32;4.176;4.118;4.088;4.298;0;0;0;0;231
54589;249;0;2.56;2.84;2.31;1.83;0.84;1.08;0.9;0.54;1.2;1.44;1.26;0.84;4.241;4.319;4.221;4.168;0;0;0;0;2
54601;293;0;2.67;2.95;2.7;2.98;1.5;1.26;1.5;1.38;2.1;1.86;1.92;1.86;4.03;4.055;3.887;4.107;301;0;0;0;51
54604;639;0;2.12;2.5;2.11;2.86;0.36;0.36;0.48;0.48;0.6;1.02;0.66;0.9;4.297;4.06;4.286;4.507;0;0;0;0;48
54635;340;0;3.09;3.37;2.61;2.15;1.02;0.78;1.08;0.66;1.32;1.08;1.5;0.96;4.285;4.205;4.221;4.238;0;0;0;0;5
54650;678;0;1.72;1.57;1.81;2.35;0.36;0.36;0.48;0.48;0.9;0.6;0.9;1.14;3.964;3.864;4.425;4.429;0;0;0;0;48
54652;183;0;2.22;2.16;2.36;2.55;1.38;1.08;1.56;1.32;1.86;1.62;2.34;1.86;4.031;3.932;3.888;4.025;0;0;0;0;100
54656;250;0;3.53;3.18;3.8;3.75;1.2;1.68;1.08;1.26;1.56;2.1;1.38;1.68;4.29;4.132;4.228;4.3;0;0;0;0;142
54677;229;0;2.6;2.72;2.27;1.64;0.9;1.2;1.02;0.66;1.26;1.62;1.5;1.02;4.224;4.264;4.229;4.299;0;0;0;0;2
54700;496;0;1.74;1.92;1.99;2.65;0.3;0.36;0.42;0.48;0.66;0.72;0.66;0.78;4.303;0;4.553;4.629;0;0;0;0;NULL
54708;188;0;2.65;2.64;2.74;2.77;1.5;1.26;1.68;1.38;2.1;1.8;2.16;1.92;4.166;4.062;3.891;4.094;0;0;0;0;NULL
54713;212;0;2.21;2.52;2.47;2.58;1.26;1.5;1.08;1.26;1.68;2.04;1.44;1.62;4.294;4.398;4.284;4.442;0;0;0;0;NULL
54718;204;0;2.13;2.29;1.76;1.44;0.84;1.02;0.96;0.6;1.14;1.44;1.5;0.84;4.232;4.263;4.221;4.233;0;0;0;0;NULL
54750;568;0;2.14;1.92;2.42;2.94;0.36;0.36;0.42;0.54;0.72;0.6;0.96;0.9;4.232;4.086;4.401;4.498;0;0;0;0;NULL
54754;253;0;2.76;2.93;2.38;1.82;0.84;1.14;0.96;0.78;1.14;1.5;1.32;1.14;4.223;4.368;4.269;4.29;0;0;0;0;NULL
54766;273;0;2.64;2.94;3.11;3.1;1.38;1.14;1.62;1.56;1.92;1.8;2.28;2.16;4.224;4.172;4.066;4.152;0;0;0;0;NULL
54793;556;0;1.63;1.52;1.94;2.34;0.3;0.36;0.42;0.42;0.48;0.72;0.66;0.72;3.617;0;4.283;4.307;0;0;0;0;NULL
54800;268;0;2.58;2.85;2.44;1.87;0.72;0.9;0.84;0.6;1.08;1.2;1.32;0.84;4.151;4.143;4.217;4.171;0;0;0;0;NULL
54809;282;0;3.7;3.94;4.32;4.44;1.32;1.5;1.08;1.26;1.74;1.92;1.38;1.68;4.294;4.27;4.216;4.436;0;0;0;0;NULL
54817;416;0;2.16;1.84;2.14;2.23;1.38;1.08;1.32;1.14;1.92;1.62;1.86;1.56;3.954;4.007;3.876;3.973;0;0;0;0;NULL
54837;684;0;1.29;1.5;1.46;1.87;0.36;0.36;0.42;0.48;0.66;0.54;0.66;0.84;3.965;4.151;4.339;4.494;0;0;0;0;NULL
54843;244;0;2.59;2.83;2.18;1.7;0.9;0.9;0.9;0.6;1.32;1.32;1.2;0.78;4.234;4.209;4.142;4.164;0;0;0;0;NULL
54865;305;0;2.16;2.46;2.43;2.48;1.14;1.26;1.02;1.02;1.5;1.86;1.38;1.38;4.02;4.198;4.018;4.244;0;0;0;0;NULL
54878;213;0;3.41;3.12;3.56;3.57;1.44;1.26;1.56;1.62;1.92;1.86;2.1;2.1;4.092;4.013;3.811;4.095;0;0;0;0;NULL
54888;555;0;2.17;1.94;2.56;3.09;0.36;0.36;0.42;0.48;0.6;0.6;0.6;0.78;4.364;4.416;4.481;4.627;0;0;0;0;8
54893;333;0;3.69;3.85;3.31;2.36;0.78;0.96;1.08;0.66;1.2;1.32;1.5;0.96;4.292;4.271;4.29;4.297;0;0;0;0;0
54929;300;0;3.04;3.46;3.52;3.36;1.14;1.5;1.02;1.08;1.44;2.28;1.32;1.44;4.293;4.376;4.093;4.454;0;0;0;0;NULL
54930;542;0;1.87;1.81;2.27;2.69;0.3;0.36;0.42;0.48;0.54;0.78;0.72;0.66;3.764;0;4.227;4.319;0;0;0;0;11
54939;216;0;2.85;2.78;3.01;3.13;1.56;1.14;1.62;1.5;2.22;1.8;2.1;2.04;4.03;3.976;3.957;4.047;0;0;0;0;NULL
54941;278;0;3.1;3.36;2.61;2.08;0.84;1.08;0.9;0.66;1.2;1.5;1.26;0.9;4.234;4.31;4.293;4.313;0;0;0;0;NULL
54967;619;0;1.61;1.5;1.62;2.23;0.3;0.36;0.36;0.42;0.66;0.6;0.6;0.66;0;4.19;4.365;4.515;0;0;0;0;NULL
54981;255;0;2.11;2.03;2.22;2.17;1.44;1.08;1.56;1.32;2.04;1.62;2.16;1.68;4.015;3.972;3.902;4.055;0;0;0;0;NULL
54986;212;0;2.53;2.82;2.78;2.97;1.14;1.32;0.96;1.14;1.44;1.8;1.5;1.5;4.286;4.308;4.305;4.452;0;0;0;0;NULL
54992;299;0;3.2;3.51;2.73;2.19;0.9;0.9;1.14;0.72;1.32;1.26;1.56;1.08;4.296;4.241;4.3;4.314;0;0;0;0;NULL
55015;616;0;1.81;1.86;2.33;2.79;0.3;0.3;0.42;0.36;0.54;0.72;0.66;0.6;0;0;4.431;4.382;0;0;0;0;NULL
55036;259;0;2.92;2.99;2.94;3.27;1.32;1.08;1.32;1.26;1.86;1.62;1.98;1.98;4.149;4.141;4.073;4.184;0;0;0;0;NULL
55037;364;0;3.33;3.66;3.19;2.06;0.9;0.9;1.02;0.54;1.2;1.38;1.44;0.84;4.216;4.209;4.273;4.251;0;0;0;0;NULL
55058;278;0;3.44;3.54;3.96;3.76;1.14;1.5;0.96;1.26;1.56;1.98;1.32;1.62;4.278;4.326;4.22;4.461;0;0;0;0;NULL
55059;521;0;2.07;1.89;2.04;2.85;0.36;0.36;0.42;0.48;0.66;0.9;0.6;0.66;0;3.996;4.287;4.393;0;0;0;0;NULL
55077;209;0;2.29;2.53;1.73;1.66;0.9;1.08;1.02;0.66;1.32;1.44;1.38;0.9;4.137;4.264;4.222;4.192;0;0;0;0;NULL
55091;300;0;2.4;2.44;2.31;2.67;1.14;1.02;1.38;1.32;1.8;1.62;1.86;2.04;3.994;4.067;4.028;4.123;0;0;0;0;NULL
55101;460;0;1.59;1.25;1.83;1.92;0.36;0.36;0.36;0.48;0.6;0.9;1.08;0.9;3.932;4.204;4.152;4.326;0;0;0;0;NULL
55112;158;0;1.79;1.99;2.12;2.06;0.96;1.38;1.14;1.08;1.32;2.04;1.56;1.5;4.203;4.347;4.154;4.446;0;0;0;0;NULL
55124;234;0;2.74;2.71;2.66;1.81;0.9;1.08;1.08;0.66;1.38;1.44;1.74;0.9;4.146;4.21;4.222;4.17;0;0;0;0;NULL
55138;210;0;2.43;2.69;2.91;2.95;1.38;1.14;1.56;1.38;2.04;1.98;2.04;1.92;4.086;4.012;4.087;4.028;0;0;0;0;NULL
55149;482;0;1.9;1.88;2.44;2.96;0.3;0.3;0.48;0.48;0.54;0.54;0.72;0.72;4.286;4.685;4.36;4.624;0;0;0;0;NULL
55163;246;0;2.71;2.95;2.46;1.85;0.9;0.96;0.96;0.6;1.2;1.32;1.56;0.9;4.162;4.144;4.149;4.092;0;0;0;0;NULL
55183;182;0;1.78;2.01;1.71;2.03;1.14;1.02;1.14;1.14;1.62;1.44;1.74;1.5;4.158;4.205;4.085;4.1;0;0;0;0;NULL
55184;236;0;3.19;3.37;3.75;3.67;1.32;1.26;1.08;1.26;1.68;1.92;1.38;1.68;4.359;4.405;4.287;4.434;0;0;0;0;NULL
55187;358;0;1.38;1.1;1.61;2.05;0.36;0.36;0.42;0.42;0.6;0.84;0.54;0.66;0;0;4.159;4.234;0;0;0;0;NULL
55207;228;0;2.66;2.89;2.17;1.76;0.9;1.2;1.08;0.6;1.26;1.56;1.44;0.9;4.23;4.247;4.236;4.237;0;0;0;0;NULL
55226;362;0;1.27;1.12;1.76;2.15;0.3;0.36;0.42;0.48;0.54;0.96;0.9;0.72;4.232;0;4.358;4.509;0;0;0;0;NULL
55234;252;0;2.48;2.38;2.7;2.45;1.5;1.2;1.74;0.96;2.04;1.68;2.22;1.5;4.294;4.129;4.292;4.301;0;0;0;0;NULL
55251;200;0;2.23;2.44;2.05;1.53;0.96;1.02;1.02;0.72;1.26;1.32;1.44;0.96;4.152;4.138;4.025;4.099;0;0;0;0;NULL
55257;262;0;2.95;3.16;3.22;3.27;1.14;1.62;1.02;1.14;1.5;2.28;1.5;1.56;4.353;4.407;4.296;4.496;0;0;0;0;NULL
55280;797;0;2.38;1.38;1.87;2.92;0.36;0.3;0.36;0.48;0.48;0.78;0.66;0.9;4.369;0;4.552;4.622;0;0;0;0;NULL
55285;239;0;2.57;2.74;2.27;1.72;0.9;1.02;1.02;0.72;1.32;1.44;1.44;1.02;4.504;4.477;4.353;4.42;0;0;0;0;NULL
55287;234;0;2.82;2.81;2.52;3.17;1.32;1.38;0.78;1.5;2.1;2.04;1.2;1.98;4.208;4.237;4.286;4.285;0;0;0;0;NULL
55325;248;0;2.43;2.64;2.17;1.68;0.78;0.84;0.96;0.6;1.08;1.32;1.32;0.84;4.288;4.282;4.291;4.289;0;0;0;0;NULL
55327;250;0;3.26;3.37;3.68;3.79;1.2;1.38;1.02;1.32;1.68;1.86;1.32;1.8;4.489;4.482;4.361;4.488;0;0;0;0;NULL
55341;376;4;1.61;1.31;1.16;2.96;0.36;0.36;0.42;0.6;0.6;0.6;0.9;0.84;4.288;4.353;4.488;4.624;0;0;0;0;NULL
55348;271;0;2.49;2.66;2.71;2.24;1.26;1.14;1.32;1.44;1.62;1.74;1.92;2.04;4.149;4.149;4.156;4.227;359;0;0;0;NULL
55366;492;0;1.65;1.43;2.85;2.17;0.48;0.36;0.48;0.54;0.66;0.6;0.78;0.78;4.162;4.147;4.357;4.484;0;0;0;0;NULL
55387;253;0;3.07;3.25;2.62;2.08;0.96;1.08;0.96;0.66;1.2;1.56;1.26;0.9;4.424;4.492;4.347;4.423;0;0;0;0;NULL
55399;300;0;2.73;3.23;3.12;3.29;0.96;1.38;0.9;1.08;1.32;2.1;1.32;1.44;4.355;4.349;4.287;4.495;0;0;0;0;NULL
55401;207;0;2.41;2.57;2.6;3.21;1.26;1.08;1.5;1.38;1.74;1.68;2.1;1.86;4.087;4.081;4.021;4.224;0;0;0;0;NULL
55428;588;0;2.12;1.37;2.72;3.38;0.3;0.36;0.48;0.54;0.48;0.6;0.9;0.96;4.228;4.094;4.211;4.483;0;0;0;0;NULL
55431;262;0;3;3.14;2.42;2.04;0.84;1.08;0.96;0.66;1.32;1.56;1.32;0.96;4.286;4.439;4.276;4.216;0;0;0;0;NULL
55450;271;0;2.22;2.59;2.67;2.6;1.32;1.2;1.92;1.62;1.8;1.62;2.52;2.22;4.152;4.157;4.01;4.093;0;0;0;0;NULL
55470;477;0;1.61;1.28;2.2;2.95;0.3;0.3;0.36;0.48;0.54;0.72;0.78;0.78;0;0;4.079;4.452;0;0;0;333;48
55471;313;0;3.27;3.54;2.89;2.49;0.78;0.96;1.02;0.6;1.2;1.26;1.44;1.02;4.263;4.289;4.28;4.251;0;0;0;0;2
55486;305;0;2.28;2.42;2.28;2.47;1.32;1.32;1.2;1.44;1.8;1.92;2.16;1.92;4.132;4.144;4.133;4.071;0;0;0;0;125
55491;282;0;4.12;3.66;4.62;4.34;1.08;1.56;1.14;1.44;1.5;2.04;1.44;1.86;4.34;4.354;4.313;4.277;0;0;0;0;71
55516;258;0;2.81;3.01;2.6;1.97;0.84;1.02;1.08;0.72;1.14;1.32;1.5;1.02;4.32;4.472;4.317;4.309;0;0;0;0;8
55531;260;0;2.16;2.33;2.01;2.32;1.08;1.02;1.38;1.32;1.62;1.44;1.92;1.8;4.055;4.068;3.917;4.106;0;0;0;0;111
55542;1173;0;2.81;2.18;2.32;3.4;0.36;0.36;0.42;0.6;0.54;0.72;0.66;0.96;4.528;4.005;4.58;4.707;0;0;0;0;17
55553;332;0;3.04;3.26;2.7;2.13;0.66;0.84;0.96;0.6;0.96;1.14;1.44;0.78;4.335;4.411;4.307;4.431;0;0;0;0;5
55568;225;8;2.37;2.48;2.3;0;1.32;1.2;1.56;0;1.8;2.16;2.04;0;3.994;4.014;3.976;0;0;0;0;0;74
55590;280;0;3.83;4.29;4.62;4.73;1.2;1.56;1.14;1.32;1.56;1.98;1.62;1.74;4.255;4.341;4.315;4.372;0;0;0;0;122
55603;601;0;2.68;1.58;3.13;3.84;0.36;0.3;0.42;0.6;0.6;0.6;0.6;1.02;4.328;0;4.452;4.651;0;0;0;0;34
55610;356;0;3.66;3.76;3.06;2.49;0.72;0.96;1.14;0.66;1.02;1.32;1.62;1.02;4.263;4.326;4.317;4.378;0;0;0;0;11
55612;298;0;2.07;2;2.1;4.58;1.32;1.32;1.62;1.92;1.86;1.86;2.04;2.58;4.065;4.06;4.117;4.373;0;0;0;0;74
55640;168;0;1.91;2.08;2.17;2.37;1.08;1.32;1.08;1.14;1.56;1.74;1.44;1.5;4.135;4.333;4.174;4.308;0;0;0;0;314
55664;189;0;2.3;2.68;2.49;1.89;1.38;1.32;1.68;1.44;1.8;1.86;2.22;2.04;4.057;4.067;3.97;3.851;0;0;0;340;162
55676;836;0;2.72;2.13;2.05;3.79;0.42;0.3;0.36;0.54;0.72;0.72;0.6;0.78;4.245;4.409;4.315;4.584;0;0;0;0;25
55689;462;0;5.1;5.19;4.36;3.15;0.78;1.14;0.96;0.72;1.14;1.62;1.44;1.02;4.239;4.352;4.309;4.384;0;0;0;0;8
55696;276;0;2.02;2.26;1.58;1.83;1.38;1.2;0.42;1.14;2.04;1.74;0.66;1.8;4.044;4.151;3.839;4.178;332;0;0;331;200
55724;422;0;1.53;1.12;2.22;3.14;0.36;0.36;0.42;0.54;0.54;0.54;1.02;0.9;3.991;4.333;3.98;4.377;0;0;0;0;45
55739;288;0;2.79;2.97;2.42;1.85;0.84;0.78;1.02;0.6;1.26;1.2;1.44;0.9;3.99;4.071;4.042;4.042;0;0;0;0;5
55746;165;0;1.89;1.83;2.31;1.92;1.2;0.96;1.44;1.2;1.56;1.38;1.92;1.74;3.92;3.935;4.043;4.113;336;0;0;0;208
55749;254;0;3.5;4.26;4.33;4.46;1.14;1.56;1.2;1.32;1.56;2.16;1.56;1.74;4.193;4.335;4.244;4.378;0;0;0;0;100
55750;330;0;1.53;0.62;1.4;1.76;0.36;0.3;0.36;0.48;0.6;0.66;0.6;0.72;0;0;0;4.115;0;0;0;0;102
55794;223;0;1.85;2.16;1.9;2.1;1.32;1.02;1.44;1.44;1.92;1.62;2.04;1.98;3.922;3.988;3.985;4.115;0;0;0;0;188
55803;401;0;1.41;1.98;1.98;2.5;0.36;0.42;0.48;0.54;0.78;0.9;0.72;0.84;4.329;4.583;4.385;4.724;0;0;0;0;48
55828;463;0;4.66;4.99;3.55;3.52;0.78;0.78;0.72;0.66;1.14;1.08;1.08;1.08;4.254;4.262;4.149;4.351;0;0;0;0;2
55829;204;0;2.76;2.97;3.03;3.27;1.32;1.32;1.14;1.26;1.74;1.8;1.44;1.68;4.187;4.328;4.084;4.217;0;0;0;0;208
55835;297;0;1.37;1.21;1.31;1.53;0.36;0.36;0.42;0.48;1.02;0.78;1.02;1.02;4.091;4.127;4.32;4.411;0;0;0;0;28
55849;165;0;2.32;2.44;2.54;2.58;1.38;1.32;1.62;1.56;1.86;1.8;2.34;2.04;4.039;4.062;4.024;4.288;0;0;0;0;134
55861;544;0;1.41;1.21;1.65;1.79;0.36;0.3;0.36;0.42;0.6;0.96;0.6;0.66;3.985;0;4.425;4.613;0;0;0;0;51
55877;263;0;2.77;2.99;2.29;1.97;0.78;1.02;1.02;0.78;1.08;1.44;1.38;1.14;4.043;4.131;4.083;4.222;0;0;0;0;2
55883;186;0;2.18;2.22;2.39;2.45;1.14;1.26;0.96;1.26;1.68;1.68;1.38;1.68;4.242;4.332;4.226;4.35;0;0;0;0;200
55895;169;0;1.82;2.02;2.08;2.11;1.38;1.08;1.56;1.38;1.86;1.68;2.1;1.8;4.038;4.129;3.963;4.149;0;0;0;0;142
55907;340;0;1.68;1.41;1.83;2.38;0.36;0.36;0.42;0.54;0.54;0.6;0.66;0.84;4.295;4.266;4.494;4.631;0;0;0;0;17
55925;244;0;2.6;2.79;2.17;1.86;0.84;0.96;1.14;0.66;1.2;1.32;1.62;0.96;4.161;4.261;4.214;4.245;0;0;0;0;22
55951;198;0;2.42;2.53;2.7;2.78;1.32;1.44;0.96;1.26;1.68;1.92;1.38;1.68;4.221;4.379;4.226;4.324;0;0;0;0;145
55953;216;0;2.58;2.96;2.75;3.03;1.5;1.2;1.38;1.44;2.04;1.68;2.04;1.98;4.086;4.11;4.027;4.122;0;0;0;0;68
55961;216;0;0.73;0.87;1.38;1.38;0.48;0.6;0.54;0.6;1.08;1.2;1.08;1.02;4.691;4.788;4.87;4.609;765;873;919;786;NULL
55962;470;0;2.06;1.71;2.33;2.92;0.36;0.36;0.36;0.48;0.54;0.6;0.6;0.9;0;4.323;4.668;4.674;0;0;0;0;20
55975;277;0;3.01;3.22;2.76;2.07;0.84;1.02;0.96;0.66;1.14;1.38;1.32;1.02;4.345;4.387;4.337;4.348;0;0;0;0;14
55993;300;0;1.26;0.95;1.55;1.81;0.42;0.3;0.48;0.42;1.08;0.6;0.78;0.66;4.065;0;4.377;4.27;0;0;0;0;28
56012;182;0;2.22;2.22;2.54;2.66;1.5;1.14;1.68;1.5;1.92;1.86;2.22;1.92;3.945;3.957;3.988;4.055;0;0;0;0;102
56019;639;0;2.42;0.06;4.4;1.67;0.78;0.18;1.08;0.48;1.14;0.36;1.5;0.84;4.271;0;4.396;4.263;0;0;0;0;37
56022;373;0;1.52;1.57;2.13;2.05;0.48;0.54;0.54;0.54;1.32;1.14;1.26;1.32;4.806;4.827;4.995;4.868;885;889;835;583;NULL
56041;240;0;3.48;3.51;3.72;3.98;1.2;1.68;1.08;1.32;1.5;2.28;1.44;1.62;4.47;4.54;4.394;4.416;0;0;0;0;48
56067;252;0;2.79;2.72;2.65;1.92;0.84;0.96;1.14;0.72;1.14;1.38;1.62;1.14;4.32;4.338;4.239;4.32;0;0;0;0;8
56070;597;0;2.54;1.58;2.19;3.2;0.36;0.36;0.42;0.42;0.66;0.6;0.66;0.96;4.523;4.803;4.442;4.723;0;0;0;0;11
56073;290;0;2.26;2.57;2.45;2.81;1.32;1.08;1.5;1.38;1.86;1.56;2.04;1.8;4.053;3.995;3.975;3.921;0;0;0;0;102
56095;272;0;1.33;1.16;2.33;1.81;0.54;0.6;0.66;0.66;1.02;0.9;1.08;1.14;4.853;4.921;5.033;5.023;659;473;830;585;NULL
56111;338;0;1.43;0.97;2.1;1.7;0.42;0.36;0.48;0.48;0.96;0.66;0.72;0.78;4.05;0;4.298;4.556;0;0;0;0;28
56116;198;0;2.49;2.82;3.07;3.38;1.14;1.38;1.2;1.32;1.44;1.86;1.56;1.74;4.105;4.175;4.17;4.164;0;0;0;0;117
56122;309;0;3.56;3.87;3.18;2.45;0.84;1.08;1.2;0.78;1.14;1.44;1.62;1.14;4.246;4.31;4.213;4.113;0;0;0;0;34
56129;183;0;1.52;1.62;1.84;1.85;0.84;0.9;0.84;0.84;1.44;1.26;1.44;1.56;4.767;4.775;4.746;4.604;973;686;731;483;NULL
56150;283;0;4.06;4.02;4.28;4.56;1.26;1.14;1.56;1.26;1.68;1.62;2.1;1.68;4.031;4.019;3.928;3.966;0;0;0;0;111
56158;545;0;2.57;2.32;2.46;2.41;0.36;0.36;0.42;0.48;0.6;1.02;1.08;1.14;4.288;3.953;4.39;4.855;0;0;0;0;34
56176;353;0;4.07;4.29;3.37;2.73;0.84;1.02;0.96;0.66;1.2;1.5;1.32;1.02;4.367;4.516;4.277;4.66;0;0;0;0;5
56185;224;0;3.09;3.54;3.8;3.99;1.14;1.44;1.2;1.38;1.68;1.92;1.62;1.86;4.376;4.52;4.364;4.761;0;0;0;0;82
56211;350;0;1.6;1.54;2.45;2.06;0.54;0.54;0.72;0.54;0.9;0.78;1.44;0.96;4.601;4.6;4.785;4.973;600;501;633;381;NULL
56213;441;0;2.36;1.41;2.06;2.34;0.42;0.36;0.42;0.54;0.6;0.72;1.14;0.78;4.204;4.069;4.449;4.764;0;0;0;0;17
56220;310;0;3.71;3.99;3.13;2.54;0.9;0.96;1.14;0.66;1.32;1.32;1.5;0.96;4.532;4.488;4.447;4.622;0;0;0;0;2
56247;489;0;1.36;1.86;2.37;3.16;0.36;0.42;0.42;0.48;0.78;0.9;0.72;0.84;3.872;4.157;4.059;3.655;0;0;0;0;85
56248;254;0;2.17;2.04;2.6;3.49;1.32;1.02;1.26;1.38;1.98;1.26;1.74;2.16;4.605;4.688;4.592;3.6;2197;799;837;382;NULL
56252;264;0;3.66;4.44;4.65;6.08;1.44;1.5;1.98;1.68;1.92;2.04;2.46;2.16;4.061;4.141;4.178;3.497;301;0;0;0;160
56255;219;0;2.39;2.71;2.02;1.53;0.9;1.08;0.96;0.6;1.32;1.86;1.38;1.02;4.193;4.267;4.11;3.709;0;0;0;0;17
56257;284;0;3.6;4.14;4.41;4.55;1.32;1.56;1.08;1.2;1.86;2.04;1.44;1.62;4.321;4.394;4.305;3.661;0;0;0;0;88
56282;616;0;2.66;1.71;1.91;0.21;0.42;0.36;0.36;0.18;0.66;0.78;0.54;0.3;3.954;3.947;3.871;0;0;0;0;0;100
56299;184;0;1.76;1.9;2.24;2.07;1.02;0.96;1.02;1.08;1.56;1.38;1.5;1.74;3.926;4.075;3.973;3.701;2163;883;601;0;NULL
